text,label
"urgent action required your account has been suspended please verify your details here http://bit.ly/fakelogin",scam
"Congratulations! You've won a $1000 gift card. Click here to claim: http://short.ly/prize",scam
"Your package is pending delivery. A customs fee of $5 is required. Pay here: http://scam-delivery.com",scam
"Hey, are you free for a call tomorrow morning?",safe
"Thanks for your order! Your receipt is attached. We'll let you know when it ships.",safe
"Job Offer: Earn $5000/week from home. No experience needed. Apply now: http://easy-money-scam.com",scam
"Your bank account has been locked due to suspicious activity. Please confirm your identity by sending your OTP.",scam
"Hi Mom, I lost my phone. Please message me on this new number.",scam
"Can you please review the document I sent over? Let me know your feedback.",safe
"Don't forget about the team meeting at 3 PM today.",safe
"Your KYC is pending. Please update your details immediately to avoid account deactivation. Share your Aadhaar and PAN details.",scam
"Free Crypto Airdrop! Get 1000 COINs for free by joining our Telegram group: http://crypto-scam.link",scam
"Remember to pick up milk on your way home.",safe
"Your electricity bill is overdue. Pay now to avoid disconnection: http://fake-bill-payment.com",scam
"I'm running a bit late, will be there in 15 minutes.",safe
"URGENT: Your Google account has been compromised. Verify immediately at http://g00gle-security.com",scam
"Amazon Prime membership expired. Update payment at http://amzan-prime.com to continue service",scam
"Facebook security alert: Unusual login detected. Secure account at http://faceb00k-login.net",scam
"Apple ID verification required. Click here: http://app1e-id-verify.com to restore access",scam
"Microsoft account locked. Unlock at http://micr0s0ft-security.org immediately",scam
"Netflix subscription suspended. Reactivate at http://netf1ix-renewal.com",scam
"PayPal account verification needed. Complete at http://paypa1-security.net",scam
"Instagram account restricted. Verify identity at http://1nstagram-verify.com",scam
"Twitter account suspended. Appeal at http://tw1tter-appeal.org",scam
"LinkedIn security breach detected. Secure profile at http://1inkedin-security.com",scam
"Bank account verification required. Update details at http://hdfc-bank-security.net",scam
"Flipkart order verification needed. Confirm at http://f1ipkart-verify.com",scam
"Zomato delivery issue. Resolve at http://z0mato-support.net",scam
"Swiggy account locked. Unlock at http://sw1ggy-verify.com",scam
"Your order has been shipped and will arrive tomorrow.",safe
"Meeting scheduled for 2 PM in conference room A.",safe
"Please review the attached document and provide feedback.",safe
"Thank you for your purchase. Your receipt is attached.",safe
"Don't forget about the dentist appointment next week.",safe
"Can you please send me the project files?",safe
"The weather looks great for our picnic this weekend.",safe
"Your subscription to our newsletter has been confirmed.",safe
"Welcome to our service! Here's your account information.",safe
"Your password has been successfully updated.",safe
