timestamp,message,level,score,reasons
2025-10-04T13:57:21.171651,"Hello, how are you?",Safe,0,
2025-10-04T13:57:21.174656,You have won a lottery!,Suspicious,5,"Message contains suspicious keyword: 'lottery', Message contains suspicious keyword: 'won'"
2025-10-04T13:58:56.648748,"Hello, how are you?",Safe,0,
2025-10-04T13:58:56.652925,You have won a lottery!,Suspicious,5,"Message contains suspicious keyword: 'lottery', Message contains suspicious keyword: 'won'"
2025-10-04T14:03:45.082100,"Hello, how are you?",Safe,0,
2025-10-04T14:03:45.084463,You have won a lottery!,Suspicious,5,"Message contains suspicious keyword: 'lottery', Message contains suspicious keyword: 'won'"
,hello,Safe,0,
,hello i need 5000 urgently,Dangerous,12,Message contains suspicious keyword: 'urgent'; Detected suspicious pattern: URGENCY_PATTERN; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,URGENT: Your account has been suspended due to suspicious activity. Please verify your identity immediately by clicking this link: bit.ly/verify-account-now,Dangerous,28,Message contains suspicious keyword: 'urgent'; Message contains suspicious keyword: 'immediate'; Message contains suspicious keyword: 'suspended'; Detected suspicious pattern: SHORTENED_URL; Detected suspicious pattern: URGENCY_PATTERN; Detected suspicious pattern: ACTION_WORDS; Detected suspicious pattern: EXCESSIVE_CAPS; Message contains 1 link(s): bit.ly/verify
,"💰 EARN ₹50,000/WEEK from home! No experience needed. Guaranteed income. Apply now: telegram.me/job-offer",Dangerous,14,Message contains suspicious keyword: 'guaranteed income'; Detected suspicious pattern: MONEY_AMOUNT; Detected suspicious pattern: EXCESSIVE_CAPS; Message contains 1 link(s): telegram.me/job
,"🎉 Congratulations! You've won $10,000 in our lottery! Click here to claim your prize: short.ly/claim-prize-now",Dangerous,31,Message contains suspicious keyword: 'lottery'; Message contains suspicious keyword: 'won'; Message contains suspicious keyword: 'prize'; Message contains suspicious keyword: 'congratulations'; Detected suspicious pattern: SHORTENED_URL; Detected suspicious pattern: MONEY_AMOUNT; Detected suspicious pattern: ACTION_WORDS; Detected suspicious pattern: EXCESSIVE_CAPS; Message contains 1 link(s): short.ly/claim
,"🎉 Congratulations! You've won $10,000 in our lottery! Click here to claim your prize: short.ly/claim-prize-now",Dangerous,31,Message contains suspicious keyword: 'lottery'; Message contains suspicious keyword: 'won'; Message contains suspicious keyword: 'prize'; Message contains suspicious keyword: 'congratulations'; Detected suspicious pattern: SHORTENED_URL; Detected suspicious pattern: MONEY_AMOUNT; Detected suspicious pattern: ACTION_WORDS; Detected suspicious pattern: EXCESSIVE_CAPS; Message contains 1 link(s): short.ly/claim
,Hi! How are you doing? Just wanted to check if you're free for lunch tomorrow.,Safe,0,
,Your package delivery is pending. A customs fee of ₹49 is required to release it. Pay now: paypal.me/delivery-fee,Dangerous,15,Message contains suspicious keyword: 'customs fee'; Detected suspicious pattern: MONEY_AMOUNT; Detected suspicious pattern: ACTION_WORDS; Message contains 1 link(s): paypal.me/delivery
,Your package delivery is pending. A customs fee of ₹49 is required to release it. Pay now: paypal.me/delivery-fee,Dangerous,15,Message contains suspicious keyword: 'customs fee'; Detected suspicious pattern: MONEY_AMOUNT; Detected suspicious pattern: ACTION_WORDS; Message contains 1 link(s): paypal.me/delivery
,hii this is aryaa. i am in your radius. wanna do something to night . can you please tell me your phone number,Safe,0,
,"MSEB: Your electricity bill is due. Please make the payment at your earliest convenience. For assistance, contact +91 7976150636.",Dangerous,15,Detected suspicious pattern: PHONE_NUMBER; Detected suspicious pattern: EXCESSIVE_CAPS; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,Your Myntra OTP for delivery is 123456,Dangerous,11,Message contains suspicious keyword: 'otp'; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,Your Myntra OTP for delivery is 123456,Dangerous,11,Message contains suspicious keyword: 'otp'; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,Your Myntra OTP for delivery is 123456,Dangerous,11,Message contains suspicious keyword: 'otp'; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,"""Your Myntra OTP for delivery is 123456",Dangerous,11,Message contains suspicious keyword: 'otp'; Detected suspicious pattern: SUSPICIOUS_NUMBERS
,Your Amazon order #123-456 has been shipped. The tracking ID is AMZ98765. It will be delivered by our executive tomorrow. Do not share any OTP with anyone.,Suspicious,6,Message contains suspicious keyword: 'otp'
,We saw your profile and have a part time work from home job offer for you. Earn easy money daily.,Suspicious,7,Message contains suspicious keyword: 'job offer'; Message contains suspicious keyword: 'work from home'; Message contains suspicious keyword: 'easy money'; Message contains suspicious keyword: 'part time'
,This is Myntra support. Your account is locked due to a payment issue. Please share your card details and OTP to unlock it,Dangerous,21,Message contains suspicious keyword: 'otp'; Message contains suspicious keyword: 'share your'; Message contains suspicious keyword: 'card details'; Detected suspicious pattern: ACTION_WORDS
